,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,soil_color_encode,Crop_encode
0,75,50,100,6.5,1000,20,0,11
1,80,50,100,6.5,1000,20,0,11
2,85,50,100,6.5,1000,20,0,11
3,90,50,100,6.5,1000,20,0,11
4,95,50,100,6.5,1000,20,0,11
5,100,50,100,6.5,1000,20,0,11
6,75,55,105,7.0,1100,25,0,11
7,80,55,105,7.0,1100,25,0,11
8,85,55,105,7.0,1100,25,0,11
9,90,55,105,7.0,1100,25,0,11
10,95,55,105,7.0,1100,25,0,11
11,100,55,105,7.0,1100,25,0,11
12,75,60,110,7.5,1200,30,0,11
13,80,60,110,7.5,1200,30,0,11
14,85,60,110,7.5,1200,30,0,11
15,90,60,110,7.5,1200,30,0,11
16,95,60,110,7.5,1200,30,0,11
17,100,60,110,7.5,1200,30,0,11
18,75,50,115,6.5,1300,35,0,11
19,80,50,115,6.5,1300,35,0,11
20,85,50,115,6.5,1300,35,0,11
21,90,50,115,6.5,1300,35,0,11
22,95,50,115,6.5,1300,35,0,11
23,100,50,115,6.5,1300,35,0,11
24,75,55,100,7.0,1400,20,0,11
25,80,55,100,7.0,1400,20,0,11
26,85,55,100,7.0,1400,20,0,11
27,90,55,100,7.0,1400,20,0,11
28,95,55,100,7.0,1400,20,0,11
29,100,55,100,7.0,1400,20,0,11
30,75,60,105,7.5,1500,25,0,11
31,80,60,105,7.5,1500,25,0,11
32,85,60,105,7.5,1500,25,0,11
33,90,60,105,7.5,1500,25,0,11
34,95,60,105,7.5,1500,25,0,11
35,100,60,105,7.5,1500,25,0,11
36,75,50,110,6.5,1000,30,0,11
37,80,50,110,6.5,1000,30,0,11
38,85,50,110,6.5,1000,30,0,11
39,90,50,110,6.5,1000,30,0,11
40,95,50,110,6.5,1000,30,0,11
41,100,50,110,6.5,1000,30,0,11
42,75,55,115,7.0,1100,35,0,11
43,80,55,115,7.0,1100,35,0,11
44,85,55,115,7.0,1100,35,0,11
45,90,55,115,7.0,1100,35,0,11
46,95,55,115,7.0,1100,35,0,11
47,100,55,115,7.0,1100,35,0,11
48,75,60,100,7.5,1200,20,0,11
49,80,60,100,7.5,1200,20,0,11
50,85,60,100,7.5,1200,20,0,11
51,90,60,100,7.5,1200,20,0,11
52,95,60,100,7.5,1200,20,0,11
53,100,60,100,7.5,1200,20,0,11
54,75,50,105,6.5,1300,25,0,11
55,80,50,105,6.5,1300,25,0,11
56,85,50,105,6.5,1300,25,0,11
57,90,50,105,6.5,1300,25,0,11
58,95,50,105,6.5,1300,25,0,11
